rank;infinitiv;Ind_Präsens_1S;Ind_Präsens_2S;Indicatif_Présent_il_(elle,_on);Ind_Präsens_1P;Ind_Präsens_2P;Indicatif_Présent_ils_(elles);Imperatif_Imperatif_Présent_;Partizip_Präsens;Participe_Participe_Passé_masculin_singulier;Participe_Participe_Passé_feminin_singulier;Participe_Participe_Passé_masculin_pluriel;Participe_Participe_Passé_feminin_pluriel;Ind_Futur_1S;Ind_Futur_2S;Indicatif_Futur_il_(elle,_on);Ind_Futur_1P;Ind_Futur_2P;Indicatif_Futur_ils_(elles);Ind_Imperfekt_1S;Ind_Imperfekt_2S;Indicatif_Imparfait_il_(elle,_on);Ind_Imperfekt_1P;Ind_Imperfekt_2P;Indicatif_Imparfait_ils_(elles);Cond_Präsens_1S;Cond_Präsens_2S;Conditionnel_Présent_il_(elle,_on);Cond_Präsens_1P;Cond_Präsens_2P;Conditionnel_Présent_ils_(elles);Subjonctif_Présent_je;Subjonctif_Présent_tu;Subjonctif_Présent_il_(elle,_on);Subjonctif_Présent_nous;Subjonctif_Présent_vous;Subjonctif_Présent_ils_(elles);Indicatif_Passé_Simple_je;Indicatif_Passé_Simple_tu;Indicatif_Passé_Simple_il_(elle,_on);Indicatif_Passé_Simple_nous;Indicatif_Passé_Simple_vous;Indicatif_Passé_Simple_ils_(elles);Subjonctif_Imparfait_je;Subjonctif_Imparfait_tu;Subjonctif_Imparfait_il_(elle,_on);Subjonctif_Imparfait_nous;Subjonctif_Imparfait_vous;Subjonctif_Imparfait_ils_(elles)
1;être;suis;es;est;sommes;êtes;sont;soyez;étant;été;;;;serai;seras;sera;serons;serez;seront;étais;étais;était;étions;étiez;étaient;serais;serais;serait;serions;seriez;seraient;sois;sois;soit;soyons;soyez;soient;fus;fus;fut;fûmes;fûtes;furent;fusse;fusses;fût;fussions;fussiez;fussent
2;avoir;ai;as;a;avons;avez;ont;ayez;ayant;eu;eue;eus;eues;aurai;auras;aura;aurons;aurez;auront;avais;avais;avait;avions;aviez;avaient;aurais;aurais;aurait;aurions;auriez;auraient;aie;aies;ait;ayons;ayez;aient;eus;eus;eut;eûmes;eûtes;eurent;eusse;eusses;eût;eussions;eussiez;eussent
3;pouvoir;peux;peux;peut;pouvons;pouvez;peuvent;;pouvant;pu;pue;pus;pues;pourrai;pourras;pourra;pourrons;pourrez;pourront;pouvais;pouvais;pouvait;pouvions;pouviez;pouvaient;pourrais;pourrais;pourrait;pourrions;pourriez;pourraient;puisse;puisses;puisse;puissions;puissiez;puissent;pus;pus;put;pûmes;pûtes;purent;pusse;pusses;pût;pussions;pussiez;pussent
7;premier;premie;premies;premie;premions;premiez;premient;premiez;premiant;premié;premiée;premiés;premiées;premierai;premieras;premiera;premierons;premierez;premieront;premiais;premiais;premiait;premiions;premiiez;premiaient;premierais;premierais;premierait;premierions;premieriez;premieraient;premie;premies;premie;premiions;premiiez;premient;premiai;premias;premia;premiâmes;premiâtes;premièrent;premiasse;premiasses;premiât;premiassions;premiassiez;premiassent
9;faire;fais;fais;fait;faisons;faites;font;faites;faisant;fait;faite;faits;faites;ferai;feras;fera;ferons;ferez;feront;faisais;faisais;faisait;faisions;faisiez;faisaient;ferais;ferais;ferait;ferions;feriez;feraient;fasse;fasses;fasse;fassions;fassiez;fassent;fis;fis;fit;fîmes;fîtes;firent;fisse;fisses;fît;fissions;fissiez;fissent
13;devoir;dois;dois;doit;devons;devez;doivent;devez;devant;dû;due;dus;dues;devrai;devras;devra;devrons;devrez;devront;devais;devais;devait;devions;deviez;devaient;devrais;devrais;devrait;devrions;devriez;devraient;doive;doives;doive;devions;deviez;doivent;dus;dus;dut;dûmes;dûtes;durent;dusse;dusses;dût;dussions;dussiez;dussent
14;dernier;dernie;dernies;dernie;dernions;derniez;dernient;derniez;derniant;dernié;derniée;derniés;derniées;dernierai;dernieras;derniera;dernierons;dernierez;dernieront;derniais;derniais;derniait;derniions;derniiez;derniaient;dernierais;dernierais;dernierait;dernierions;dernieriez;dernieraient;dernie;dernies;dernie;derniions;derniiez;dernient;derniai;dernias;dernia;derniâmes;derniâtes;dernièrent;derniasse;derniasses;derniât;derniassions;derniassiez;derniassent
18;aller;vais;vas;va;allons;allez;vont;allez;allant;allé;allée;allés;allées;irai;iras;ira;irons;irez;iront;allais;allais;allait;allions;alliez;allaient;irais;irais;irait;irions;iriez;iraient;aille;ailles;aille;allions;alliez;aillent;allai;allas;alla;allâmes;allâtes;allèrent;allasse;allasses;allât;allassions;allassiez;allassent
20;notre;nis;nis;nit;nivons;nivez;nivent;nivez;nivant;nécu;nécue;nécus;nécues;nivrai;nivras;nivra;nivrons;nivrez;nivront;nivais;nivais;nivait;nivions;niviez;nivaient;nivrais;nivrais;nivrait;nivrions;nivriez;nivraient;nive;nives;nive;nivions;niviez;nivent;nécus;nécus;nécut;nécûmes;nécûtes;nécurent;nécusse;nécusses;nécût;nécussions;nécussiez;nécussent
21;entrer;entre;entres;entre;entrons;entrez;entrent;entrez;entrant;entré;entrée;entrés;entrées;entrerai;entreras;entrera;entrerons;entrerez;entreront;entrais;entrais;entrait;entrions;entriez;entraient;entrerais;entrerais;entrerait;entrerions;entreriez;entreraient;entre;entres;entre;entrions;entriez;entrent;entrai;entras;entra;entrâmes;entrâtes;entrèrent;entrasse;entrasses;entrât;entrassions;entrassiez;entrassent
26;luire;luis;luis;luit;luisons;luisez;luisent;luisez;luisant;lui;;;;luirai;luiras;luira;luirons;luirez;luiront;luisais;luisais;luisait;luisions;luisiez;luisaient;luirais;luirais;luirait;luirions;luiriez;luiraient;luise;luises;luise;luisions;luisiez;luisent;luis;luis;luit;luîmes;luîtes;luirent;luisse;luisses;luît;luissions;luissiez;luissent
27;dire;dis;dis;dit;disons;dites;disent;dites;disant;dit;dite;dits;dites;dirai;diras;dira;dirons;direz;diront;disais;disais;disait;disions;disiez;disaient;dirais;dirais;dirait;dirions;diriez;diraient;dise;dises;dise;disions;disiez;disent;dis;dis;dit;dîmes;dîtes;dirent;disse;disses;dît;dissions;dissiez;dissent
30;contre;conds;conds;cond;condons;condez;condent;condez;condant;condu;condue;condus;condues;condrai;condras;condra;condrons;condrez;condront;condais;condais;condait;condions;condiez;condaient;condrais;condrais;condrait;condrions;condriez;condraient;conde;condes;conde;condions;condiez;condent;condis;condis;condit;condîmes;condîtes;condirent;condisse;condisses;condît;condissions;condissiez;condissent
33;prendre;prends;prends;prend;prenons;prenez;prennent;prenez;prenant;pris;prise;pris;prises;prendrai;prendras;prendra;prendrons;prendrez;prendront;prenais;prenais;prenait;prenions;preniez;prenaient;prendrais;prendrais;prendrait;prendrions;prendriez;prendraient;prenne;prennes;prenne;prenions;preniez;prennent;pris;pris;prit;prîmes;prîtes;prirent;prisse;prisses;prît;prissions;prissiez;prissent
35;encore;encos;encos;encôt;;;encosent;;encosant;encos;encose;encos;encoses;encorai;encoras;encora;encorons;encorez;encoront;;;;;;;encorais;encorais;encorait;encorions;encoriez;encoraient;encose;encoses;encose;encosions;encosiez;encosent;;;;;;;;;;;;
36;voir;vois;vois;voit;voyons;voyez;voient;voyez;voyant;vu;vue;vus;vues;verrai;verras;verra;verrons;verrez;verront;voyais;voyais;voyait;voyions;voyiez;voyaient;verrais;verrais;verrait;verrions;verriez;verraient;voie;voies;voie;voyions;voyiez;voient;vis;vis;vit;vîmes;vîtes;virent;visse;visses;vît;vissions;vissiez;vissent
41;mettre;mets;mets;met;mettons;mettez;mettent;mettez;mettant;mis;mise;mis;mises;mettrai;mettras;mettra;mettrons;mettrez;mettront;mettais;mettais;mettait;mettions;mettiez;mettaient;mettrais;mettrais;mettrait;mettrions;mettriez;mettraient;mette;mettes;mette;mettions;mettiez;mettent;mis;mis;mit;mîmes;mîtes;mirent;misse;misses;mît;missions;missiez;missent
46;autre;aus;aus;aut;autons;autez;autent;autez;autant;autu;autue;autus;autues;autrai;autras;autra;autrons;autrez;autront;autais;autais;autait;autions;autiez;autaient;autrais;autrais;autrait;autrions;autriez;autraient;aute;autes;aute;autions;autiez;autent;;;;;;;;;;;;
51;passer;passe;passes;passe;passons;passez;passent;passez;passant;passé;passée;passés;passées;passerai;passeras;passera;passerons;passerez;passeront;passais;passais;passait;passions;passiez;passaient;passerais;passerais;passerait;passerions;passeriez;passeraient;passe;passes;passe;passions;passiez;passent;passai;passas;passa;passâmes;passâtes;passèrent;passasse;passasses;passât;passassions;passassiez;passassent
54;permettre;permets;permets;permet;permettons;permettez;permettent;permettez;permettant;permis;permise;permis;permises;permettrai;permettras;permettra;permettrons;permettrez;permettront;permettais;permettais;permettait;permettions;permettiez;permettaient;permettrais;permettrais;permettrait;permettrions;permettriez;permettraient;permette;permettes;permette;permettions;permettiez;permettent;permis;permis;permit;permîmes;permîtes;permirent;permisse;permisses;permît;permissions;permissiez;permissent
56;ministre;miniis;miniis;miniit;miniivons;miniivez;miniivent;miniivez;miniivant;miniécu;miniécue;miniécus;miniécues;miniivrai;miniivras;miniivra;miniivrons;miniivrez;miniivront;miniivais;miniivais;miniivait;miniivions;miniiviez;miniivaient;miniivrais;miniivrais;miniivrait;miniivrions;miniivriez;miniivraient;miniive;miniives;miniive;miniivions;miniiviez;miniivent;miniécus;miniécus;miniécut;miniécûmes;miniécûtes;miniécurent;miniécusse;miniécusses;miniécût;miniécussions;miniécussiez;miniécussent
63;celer;cèle;cèles;cèle;celons;celez;cèlent;celez;celant;celé;celée;celés;celées;cèlerai;cèleras;cèlera;cèlerons;cèlerez;cèleront;celais;celais;celait;celions;celiez;celaient;cèlerais;cèlerais;cèlerait;cèlerions;cèleriez;cèleraient;cèle;cèles;cèle;celions;celiez;cèlent;celai;celas;cela;celâmes;celâtes;celèrent;celasse;celasses;celât;celassions;celassiez;celassent
64;vouloir;veux;veux;veut;voulons;voulez;veulent;veuillez;voulant;voulu;voulue;voulus;voulues;voudrai;voudras;voudra;voudrons;voudrez;voudront;voulais;voulais;voulait;voulions;vouliez;voulaient;voudrais;voudrais;voudrait;voudrions;voudriez;voudraient;veuille;veuilles;veuille;voulions;vouliez;veuillent;voulus;voulus;voulut;voulûmes;voulûtes;voulurent;voulusse;voulusses;voulût;voulussions;voulussiez;voulussent
73;savoir;sais;sais;sait;savons;savez;savent;sachez;sachant;su;sue;sus;sues;saurai;sauras;saura;saurons;saurez;sauront;savais;savais;savait;savions;saviez;savaient;saurais;saurais;saurait;saurions;sauriez;sauraient;sache;saches;sache;sachions;sachiez;sachent;sus;sus;sut;sûmes;sûtes;surent;susse;susses;sût;sussions;sussiez;sussent
74;venir;viens;viens;vient;venons;venez;viennent;venez;venant;venu;venue;venus;venues;viendrai;viendras;viendra;viendrons;viendrez;viendront;venais;venais;venait;venions;veniez;venaient;viendrais;viendrais;viendrait;viendrions;viendriez;viendraient;vienne;viennes;vienne;venions;veniez;viennent;vins;vins;vint;vînmes;vîntes;vinrent;vinsse;vinsses;vînt;vinssions;vinssiez;vinssent
90;partir;pars;pars;part;partons;partez;partent;partez;partant;parti;partie;partis;parties;partirai;partiras;partira;partirons;partirez;partiront;partais;partais;partait;partions;partiez;partaient;partirais;partirais;partirait;partirions;partiriez;partiraient;parte;partes;parte;partions;partiez;partent;partis;partis;partit;partîmes;partîtes;partirent;partisse;partisses;partît;partissions;partissiez;partissent
96;annoncer;annonce;annonces;annonce;annonçons;annoncez;annoncent;annoncez;annonçant;annoncé;annoncée;annoncés;annoncées;annoncerai;annonceras;annoncera;annoncerons;annoncerez;annonceront;annonçais;annonçais;annonçait;annoncions;annonciez;annonçaient;annoncerais;annoncerais;annoncerait;annoncerions;annonceriez;annonceraient;annonce;annonces;annonce;annoncions;annonciez;annoncent;annonçai;annonças;annonça;annonçâmes;annonçâtes;annoncèrent;annonçasse;annonçasses;annonçât;annonçassions;annonçassiez;annonçassent
99;trouver;trouve;trouves;trouve;trouvons;trouvez;trouvent;trouvez;trouvant;trouvé;trouvée;trouvés;trouvées;trouverai;trouveras;trouvera;trouverons;trouverez;trouveront;trouvais;trouvais;trouvait;trouvions;trouviez;trouvaient;trouverais;trouverais;trouverait;trouverions;trouveriez;trouveraient;trouve;trouves;trouve;trouvions;trouviez;trouvent;trouvai;trouvas;trouva;trouvâmes;trouvâtes;trouvèrent;trouvasse;trouvasses;trouvât;trouvassions;trouvassiez;trouvassent
112;heure;heus;heus;heut;heuons;heuez;heuent;heuez;heuant;heu;heue;heus;heues;heurai;heuras;heura;heurons;heurez;heuront;heuais;heuais;heuait;heuions;heuiez;heuaient;heurais;heurais;heurait;heurions;heuriez;heuraient;heue;heues;heue;heuions;heuiez;heuent;heus;heus;heut;heûmes;heûtes;heurent;heusse;heusses;heût;heussions;heussiez;heussent
114;déclarer;déclare;déclares;déclare;déclarons;déclarez;déclarent;déclarez;déclarant;déclaré;déclarée;déclarés;déclarées;déclarerai;déclareras;déclarera;déclarerons;déclarerez;déclareront;déclarais;déclarais;déclarait;déclarions;déclariez;déclaraient;déclarerais;déclarerais;déclarerait;déclarerions;déclareriez;déclareraient;déclare;déclares;déclare;déclarions;déclariez;déclarent;déclarai;déclaras;déclara;déclarâmes;déclarâtes;déclarèrent;déclarasse;déclarasses;déclarât;déclarassions;déclarassiez;déclarassent
118;rendre;rends;rends;rend;rendons;rendez;rendent;rendez;rendant;rendu;rendue;rendus;rendues;rendrai;rendras;rendra;rendrons;rendrez;rendront;rendais;rendais;rendait;rendions;rendiez;rendaient;rendrais;rendrais;rendrait;rendrions;rendriez;rendraient;rende;rendes;rende;rendions;rendiez;rendent;rendis;rendis;rendit;rendîmes;rendîtes;rendirent;rendisse;rendisses;rendît;rendissions;rendissiez;rendissent
122;donner;donne;donnes;donne;donnons;donnez;donnent;donnez;donnant;donné;donnée;donnés;données;donnerai;donneras;donnera;donnerons;donnerez;donneront;donnais;donnais;donnait;donnions;donniez;donnaient;donnerais;donnerais;donnerait;donnerions;donneriez;donneraient;donne;donnes;donne;donnions;donniez;donnent;donnai;donnas;donna;donnâmes;donnâtes;donnèrent;donnasse;donnasses;donnât;donnassions;donnassiez;donnassent
123;votre;vis;vis;vit;vivons;vivez;vivent;vivez;vivant;vécu;vécue;vécus;vécues;vivrai;vivras;vivra;vivrons;vivrez;vivront;vivais;vivais;vivait;vivions;viviez;vivaient;vivrais;vivrais;vivrait;vivrions;vivriez;vivraient;vive;vives;vive;vivions;viviez;vivent;vécus;vécus;vécut;vécûmes;vécûtes;vécurent;vécusse;vécusses;vécût;vécussions;vécussiez;vécussent
125;connaître;connais;connais;connaît;connaissons;connaissez;connaissent;connaissez;connaissant;connu;connue;connus;connues;connaîtrai;connaîtras;connaîtra;connaîtrons;connaîtrez;connaîtront;connaissais;connaissais;connaissait;connaissions;connaissiez;connaissaient;connaîtrais;connaîtrais;connaîtrait;connaîtrions;connaîtriez;connaîtraient;connaisse;connaisses;connaisse;connaissions;connaissiez;connaissent;connus;connus;connut;connûmes;connûtes;connurent;connusse;connusses;connût;connussions;connussiez;connussent
127;centre;cends;cends;cend;cendons;cendez;cendent;cendez;cendant;cendu;cendue;cendus;cendues;cendrai;cendras;cendra;cendrons;cendrez;cendront;cendais;cendais;cendait;cendions;cendiez;cendaient;cendrais;cendrais;cendrait;cendrions;cendriez;cendraient;cende;cendes;cende;cendions;cendiez;cendent;cendis;cendis;cendit;cendîmes;cendîtes;cendirent;cendisse;cendisses;cendît;cendissions;cendissiez;cendissent
130;devenir;deviens;deviens;devient;devenons;devenez;deviennent;devenez;devenant;devenu;devenue;devenus;devenues;deviendrai;deviendras;deviendra;deviendrons;deviendrez;deviendront;devenais;devenais;devenait;devenions;deveniez;devenaient;deviendrais;deviendrais;deviendrait;deviendrions;deviendriez;deviendraient;devienne;deviennes;devienne;devenions;deveniez;deviennent;devins;devins;devint;devînmes;devîntes;devinrent;devinsse;devinsses;devînt;devinssions;devinssiez;devinssent
135;expliquer;explique;expliques;explique;expliquons;expliquez;expliquent;expliquez;expliquant;expliqué;expliquée;expliqués;expliquées;expliquerai;expliqueras;expliquera;expliquerons;expliquerez;expliqueront;expliquais;expliquais;expliquait;expliquions;expliquiez;expliquaient;expliquerais;expliquerais;expliquerait;expliquerions;expliqueriez;expliqueraient;explique;expliques;explique;expliquions;expliquiez;expliquent;expliquai;expliquas;expliqua;expliquâmes;expliquâtes;expliquèrent;expliquasse;expliquasses;expliquât;expliquassions;expliquassiez;expliquassent
144;lancer;lance;lances;lance;lançons;lancez;lancent;lancez;lançant;lancé;lancée;lancés;lancées;lancerai;lanceras;lancera;lancerons;lancerez;lanceront;lançais;lançais;lançait;lancions;lanciez;lançaient;lancerais;lancerais;lancerait;lancerions;lanceriez;lanceraient;lance;lances;lance;lancions;lanciez;lancent;lançai;lanças;lança;lançâmes;lançâtes;lancèrent;lançasse;lançasses;lançât;lançassions;lançassiez;lançassent
159;retrouver;retrouve;retrouves;retrouve;retrouvons;retrouvez;retrouvent;retrouvez;retrouvant;retrouvé;retrouvée;retrouvés;retrouvées;retrouverai;retrouveras;retrouvera;retrouverons;retrouverez;retrouveront;retrouvais;retrouvais;retrouvait;retrouvions;retrouviez;retrouvaient;retrouverais;retrouverais;retrouverait;retrouverions;retrouveriez;retrouveraient;retrouve;retrouves;retrouve;retrouvions;retrouviez;retrouvent;retrouvai;retrouvas;retrouva;retrouvâmes;retrouvâtes;retrouvèrent;retrouvasse;retrouvasses;retrouvât;retrouvassions;retrouvassiez;retrouvassent
171;jouer;joue;joues;joue;jouons;jouez;jouent;jouez;jouant;joué;jouée;joués;jouées;jouerai;joueras;jouera;jouerons;jouerez;joueront;jouais;jouais;jouait;jouions;jouiez;jouaient;jouerais;jouerais;jouerait;jouerions;joueriez;joueraient;joue;joues;joue;jouions;jouiez;jouent;jouai;jouas;joua;jouâmes;jouâtes;jouèrent;jouasse;jouasses;jouât;jouassions;jouassiez;jouassent
179;revenir;reviens;reviens;revient;revenons;revenez;reviennent;revenez;revenant;revenu;revenue;revenus;revenues;reviendrai;reviendras;reviendra;reviendrons;reviendrez;reviendront;revenais;revenais;revenait;revenions;reveniez;revenaient;reviendrais;reviendrais;reviendrait;reviendrions;reviendriez;reviendraient;revienne;reviennes;revienne;revenions;reveniez;reviennent;revins;revins;revint;revînmes;revîntes;revinrent;revinsse;revinsses;revînt;revinssions;revinssiez;revinssent
180;ajouter;ajoute;ajoutes;ajoute;ajoutons;ajoutez;ajoutent;ajoutez;ajoutant;ajouté;ajoutée;ajoutés;ajoutées;ajouterai;ajouteras;ajoutera;ajouterons;ajouterez;ajouteront;ajoutais;ajoutais;ajoutait;ajoutions;ajoutiez;ajoutaient;ajouterais;ajouterais;ajouterait;ajouterions;ajouteriez;ajouteraient;ajoute;ajoutes;ajoute;ajoutions;ajoutiez;ajoutent;ajoutai;ajoutas;ajouta;ajoutâmes;ajoutâtes;ajoutèrent;ajoutasse;ajoutasses;ajoutât;ajoutassions;ajoutassiez;ajoutassent
181;prévoir;prévois;prévois;prévoit;prévoyons;prévoyez;prévoient;prévoyez;prévoyant;prévu;prévue;prévus;prévues;prévoirai;prévoiras;prévoira;prévoirons;prévoirez;prévoiront;prévoyais;prévoyais;prévoyait;prévoyions;prévoyiez;prévoyaient;prévoirais;prévoirais;prévoirait;prévoirions;prévoiriez;prévoiraient;prévoie;prévoies;prévoie;prévoyions;prévoyiez;prévoient;prévis;prévis;prévit;prévîmes;prévîtes;prévirent;prévisse;prévisses;prévît;prévissions;prévissiez;prévissent
184;rester;reste;restes;reste;restons;restez;restent;restez;restant;resté;restée;restés;restées;resterai;resteras;restera;resterons;resterez;resteront;restais;restais;restait;restions;restiez;restaient;resterais;resterais;resterait;resterions;resteriez;resteraient;reste;restes;reste;restions;restiez;restent;restai;restas;resta;restâmes;restâtes;restèrent;restasse;restasses;restât;restassions;restassiez;restassent
188;tenir;tiens;tiens;tient;tenons;tenez;tiennent;tenez;tenant;tenu;tenue;tenus;tenues;tiendrai;tiendras;tiendra;tiendrons;tiendrez;tiendront;tenais;tenais;tenait;tenions;teniez;tenaient;tiendrais;tiendrais;tiendrait;tiendrions;tiendriez;tiendraient;tienne;tiennes;tienne;tenions;teniez;tiennent;tins;tins;tint;tînmes;tîntes;tinrent;tinsse;tinsses;tînt;tinssions;tinssiez;tinssent
190;suivre;suis;suis;suit;suivons;suivez;suivent;suivez;suivant;suivi;suivie;suivis;suivies;suivrai;suivras;suivra;suivrons;suivrez;suivront;suivais;suivais;suivait;suivions;suiviez;suivaient;suivrais;suivrais;suivrait;suivrions;suivriez;suivraient;suive;suives;suive;suivions;suiviez;suivent;suivis;suivis;suivit;suivîmes;suivîtes;suivirent;suivisse;suivisses;suivît;suivissions;suivissiez;suivissent
191;souligner;souligne;soulignes;souligne;soulignons;soulignez;soulignent;soulignez;soulignant;souligné;soulignée;soulignés;soulignées;soulignerai;souligneras;soulignera;soulignerons;soulignerez;souligneront;soulignais;soulignais;soulignait;soulignions;souligniez;soulignaient;soulignerais;soulignerais;soulignerait;soulignerions;souligneriez;souligneraient;souligne;soulignes;souligne;soulignions;souligniez;soulignent;soulignai;soulignas;souligna;soulignâmes;soulignâtes;soulignèrent;soulignasse;soulignasses;soulignât;soulignassions;soulignassiez;soulignassent
195;attendre;attends;attends;attend;attendons;attendez;attendent;attendez;attendant;attendu;attendue;attendus;attendues;attendrai;attendras;attendra;attendrons;attendrez;attendront;attendais;attendais;attendait;attendions;attendiez;attendaient;attendrais;attendrais;attendrait;attendrions;attendriez;attendraient;attende;attendes;attende;attendions;attendiez;attendent;attendis;attendis;attendit;attendîmes;attendîtes;attendirent;attendisse;attendisses;attendît;attendissions;attendissiez;attendissent
199;porter;porte;portes;porte;portons;portez;portent;portez;portant;porté;portée;portés;portées;porterai;porteras;portera;porterons;porterez;porteront;portais;portais;portait;portions;portiez;portaient;porterais;porterais;porterait;porterions;porteriez;porteraient;porte;portes;porte;portions;portiez;portent;portai;portas;porta;portâmes;portâtes;portèrent;portasse;portasses;portât;portassions;portassiez;portassent
200;offrir;offre;offres;offre;offrons;offrez;offrent;offrez;offrant;offert;offerte;offerts;offertes;offrirai;offriras;offrira;offrirons;offrirez;offriront;offrais;offrais;offrait;offrions;offriez;offraient;offrirais;offrirais;offrirait;offririons;offririez;offriraient;offre;offres;offre;offrions;offriez;offrent;offris;offris;offrit;offrîmes;offrîtes;offrirent;offrisse;offrisses;offrît;offrissions;offrissiez;offrissent
203;mesure;mesus;mesus;mesut;mesuons;mesuez;mesuent;mesuez;mesuant;mesu;mesue;mesus;mesues;mesurai;mesuras;mesura;mesurons;mesurez;mesuront;mesuais;mesuais;mesuait;mesuions;mesuiez;mesuaient;mesurais;mesurais;mesurait;mesurions;mesuriez;mesuraient;mesue;mesues;mesue;mesuions;mesuiez;mesuent;mesus;mesus;mesut;mesûmes;mesûtes;mesurent;mesusse;mesusses;mesût;mesussions;mesussiez;mesussent
204;sortir;sors;sors;sort;sortons;sortez;sortent;sortez;sortant;sorti;sortie;sortis;sorties;sortirai;sortiras;sortira;sortirons;sortirez;sortiront;sortais;sortais;sortait;sortions;sortiez;sortaient;sortirais;sortirais;sortirait;sortirions;sortiriez;sortiraient;sorte;sortes;sorte;sortions;sortiez;sortent;sortis;sortis;sortit;sortîmes;sortîtes;sortirent;sortisse;sortisses;sortît;sortissions;sortissiez;sortissent
210;membre;memds;memds;memd;memdons;memdez;memdent;memdez;memdant;memdu;memdue;memdus;memdues;memdrai;memdras;memdra;memdrons;memdrez;memdront;memdais;memdais;memdait;memdions;memdiez;memdaient;memdrais;memdrais;memdrait;memdrions;memdriez;memdraient;memde;memdes;memde;memdions;memdiez;memdent;memdis;memdis;memdit;memdîmes;memdîtes;memdirent;memdisse;memdisses;memdît;memdissions;memdissiez;memdissent
211;concerner;concerne;concernes;concerne;concernons;concernez;concernent;concernez;concernant;concerné;concernée;concernés;concernées;concernerai;concerneras;concernera;concernerons;concernerez;concerneront;concernais;concernais;concernait;concernions;concerniez;concernaient;concernerais;concernerais;concernerait;concernerions;concerneriez;concerneraient;concerne;concernes;concerne;concernions;concerniez;concernent;concernai;concernas;concerna;concernâmes;concernâtes;concernèrent;concernasse;concernasses;concernât;concernassions;concernassiez;concernassent
213;penser;pense;penses;pense;pensons;pensez;pensent;pensez;pensant;pensé;pensée;pensés;pensées;penserai;penseras;pensera;penserons;penserez;penseront;pensais;pensais;pensait;pensions;pensiez;pensaient;penserais;penserais;penserait;penserions;penseriez;penseraient;pense;penses;pense;pensions;pensiez;pensent;pensai;pensas;pensa;pensâmes;pensâtes;pensèrent;pensasse;pensasses;pensât;pensassions;pensassiez;pensassent
214;proposer;propose;proposes;propose;proposons;proposez;proposent;proposez;proposant;proposé;proposée;proposés;proposées;proposerai;proposeras;proposera;proposerons;proposerez;proposeront;proposais;proposais;proposait;proposions;proposiez;proposaient;proposerais;proposerais;proposerait;proposerions;proposeriez;proposeraient;propose;proposes;propose;proposions;proposiez;proposent;proposai;proposas;proposa;proposâmes;proposâtes;proposèrent;proposasse;proposasses;proposât;proposassions;proposassiez;proposassent
215;continuer;continue;continues;continue;continuons;continuez;continuent;continuez;continuant;continué;continuée;continués;continuées;continuerai;continueras;continuera;continuerons;continuerez;continueront;continuais;continuais;continuait;continuions;continuiez;continuaient;continuerais;continuerais;continuerait;continuerions;continueriez;continueraient;continue;continues;continue;continuions;continuiez;continuent;continuai;continuas;continua;continuâmes;continuâtes;continuèrent;continuasse;continuasses;continuât;continuassions;continuassiez;continuassent
217;parler;parle;parles;parle;parlons;parlez;parlent;parlez;parlant;parlé;parlée;parlés;parlées;parlerai;parleras;parlera;parlerons;parlerez;parleront;parlais;parlais;parlait;parlions;parliez;parlaient;parlerais;parlerais;parlerait;parlerions;parleriez;parleraient;parle;parles;parle;parlions;parliez;parlent;parlai;parlas;parla;parlâmes;parlâtes;parlèrent;parlasse;parlasses;parlât;parlassions;parlassiez;parlassent
219;préciser;précise;précises;précise;précisons;précisez;précisent;précisez;précisant;précisé;précisée;précisés;précisées;préciserai;préciseras;précisera;préciserons;préciserez;préciseront;précisais;précisais;précisait;précisions;précisiez;précisaient;préciserais;préciserais;préciserait;préciserions;préciseriez;préciseraient;précise;précises;précise;précisions;précisiez;précisent;précisai;précisas;précisa;précisâmes;précisâtes;précisèrent;précisasse;précisasses;précisât;précisassions;précisassiez;précisassent
220;présenter;présente;présentes;présente;présentons;présentez;présentent;présentez;présentant;présenté;présentée;présentés;présentées;présenterai;présenteras;présentera;présenterons;présenterez;présenteront;présentais;présentais;présentait;présentions;présentiez;présentaient;présenterais;présenterais;présenterait;présenterions;présenteriez;présenteraient;présente;présentes;présente;présentions;présentiez;présentent;présentai;présentas;présenta;présentâmes;présentâtes;présentèrent;présentasse;présentasses;présentât;présentassions;présentassiez;présentassent
224;guerre;guois;guois;guoit;guoyons;guoyez;guoient;guoyez;guoyant;guu;guue;guus;guues;guoirai;guoiras;guoira;guoirons;guoirez;guoiront;guoyais;guoyais;guoyait;guoyions;guoyiez;guoyaient;guoirais;guoirais;guoirait;guoirions;guoiriez;guoiraient;guoie;guoies;guoie;guoyions;guoyiez;guoient;guus;guus;guut;guûmes;guûtes;guurent;guusse;guusses;guût;guussions;guussiez;guussent
225;affirmer;affirme;affirmes;affirme;affirmons;affirmez;affirment;affirmez;affirmant;affirmé;affirmée;affirmés;affirmées;affirmerai;affirmeras;affirmera;affirmerons;affirmerez;affirmeront;affirmais;affirmais;affirmait;affirmions;affirmiez;affirmaient;affirmerais;affirmerais;affirmerait;affirmerions;affirmeriez;affirmeraient;affirme;affirmes;affirme;affirmions;affirmiez;affirment;affirmai;affirmas;affirma;affirmâmes;affirmâtes;affirmèrent;affirmasse;affirmasses;affirmât;affirmassions;affirmassiez;affirmassent
