rank;infinitiv;Ind_Präsens_1S;Ind_Präsens_2S;Indicatif_Présent_il_(elle,_on);Ind_Präsens_1P;Ind_Präsens_2P;Indicatif_Présent_ils_(elles);Imperatif_Imperatif_Présent_;Partizip_Präsens;Participe_Participe_Passé_masculin_singulier;Participe_Participe_Passé_feminin_singulier;Participe_Participe_Passé_masculin_pluriel;Participe_Participe_Passé_feminin_pluriel;Ind_Futur_1S;Ind_Futur_2S;Indicatif_Futur_il_(elle,_on);Ind_Futur_1P;Ind_Futur_2P;Indicatif_Futur_ils_(elles);Ind_Imperfekt_1S;Ind_Imperfekt_2S;Indicatif_Imparfait_il_(elle,_on);Ind_Imperfekt_1P;Ind_Imperfekt_2P;Indicatif_Imparfait_ils_(elles);Cond_Präsens_1S;Cond_Präsens_2S;Conditionnel_Présent_il_(elle,_on);Cond_Präsens_1P;Cond_Präsens_2P;Conditionnel_Présent_ils_(elles);Subjonctif_Présent_je;Subjonctif_Présent_tu;Subjonctif_Présent_il_(elle,_on);Subjonctif_Présent_nous;Subjonctif_Présent_vous;Subjonctif_Présent_ils_(elles);Indicatif_Passé_Simple_je;Indicatif_Passé_Simple_tu;Indicatif_Passé_Simple_il_(elle,_on);Indicatif_Passé_Simple_nous;Indicatif_Passé_Simple_vous;Indicatif_Passé_Simple_ils_(elles);Subjonctif_Imparfait_je;Subjonctif_Imparfait_tu;Subjonctif_Imparfait_il_(elle,_on);Subjonctif_Imparfait_nous;Subjonctif_Imparfait_vous;Subjonctif_Imparfait_ils_(elles)
5574;perpétrer;perpètre;perpètres;perpètre;perpétrons;perpétrez;perpètrent;perpétrez;perpétrant;perpétré;perpétrée;perpétrés;perpétrées;perpétrerai;perpétreras;perpétrera;perpétrerons;perpétrerez;perpétreront;perpétrais;perpétrais;perpétrait;perpétrions;perpétriez;perpétraient;perpétrerais;perpétrerais;perpétrerait;perpétrerions;perpétreriez;perpétreraient;perpètre;perpètres;perpètre;perpétrions;perpétriez;perpètrent;perpétrai;perpétras;perpétra;perpétrâmes;perpétrâtes;perpétrèrent;perpétrasse;perpétrasses;perpétrât;perpétrassions;perpétrassiez;perpétrassent
5576;berger;berge;berges;berge;bergeons;bergez;bergent;bergez;bergeant;bergé;bergée;bergés;bergées;bergerai;bergeras;bergera;bergerons;bergerez;bergeront;bergeais;bergeais;bergeait;bergions;bergiez;bergeaient;bergerais;bergerais;bergerait;bergerions;bergeriez;bergeraient;berge;berges;berge;bergions;bergiez;bergent;bergeai;bergeas;bergea;bergeâmes;bergeâtes;bergèrent;bergeasse;bergeasses;bergeât;bergeassions;bergeassiez;bergeassent
5581;pourvoir;pourvois;pourvois;pourvoit;pourvoyons;pourvoyez;pourvoient;pourvoyez;pourvoyant;pourvu;pourvue;pourvus;pourvues;pourvoirai;pourvoiras;pourvoira;pourvoirons;pourvoirez;pourvoiront;pourvoyais;pourvoyais;pourvoyait;pourvoyions;pourvoyiez;pourvoyaient;pourvoirais;pourvoirais;pourvoirait;pourvoirions;pourvoiriez;pourvoiraient;pourvoie;pourvoies;pourvoie;pourvoyions;pourvoyiez;pourvoient;pourvus;pourvus;pourvut;pourvûmes;pourvûtes;pourvurent;pourvusse;pourvusses;pourvût;pourvussions;pourvussiez;pourvussent
5584;repère;reps;reps;rept;reptons;reptez;reptent;reptez;reptant;repti;reptie;reptis;repties;reptirai;reptiras;reptira;reptirons;reptirez;reptiront;reptais;reptais;reptait;reptions;reptiez;reptaient;reptirais;reptirais;reptirait;reptirions;reptiriez;reptiraient;repte;reptes;repte;reptions;reptiez;reptent;reptis;reptis;reptit;reptîmes;reptîtes;reptirent;reptisse;reptisses;reptît;reptissions;reptissiez;reptissent
5585;sabre;sais;sais;sait;saisons;saites;sont;saites;saisant;sait;saite;saits;saites;serai;seras;sera;serons;serez;seront;saisais;saisais;saisait;saisions;saisiez;saisaient;serais;serais;serait;serions;seriez;seraient;sasse;sasses;sasse;sassions;sassiez;sassent;sis;sis;sit;sîmes;sîtes;sirent;sisse;sisses;sît;sissions;sissiez;sissent
5588;casier;casie;casies;casie;casions;casiez;casient;casiez;casiant;casié;casiée;casiés;casiées;casierai;casieras;casiera;casierons;casierez;casieront;casiais;casiais;casiait;casiions;casiiez;casiaient;casierais;casierais;casierait;casierions;casieriez;casieraient;casie;casies;casie;casiions;casiiez;casient;casiai;casias;casia;casiâmes;casiâtes;casièrent;casiasse;casiasses;casiât;casiassions;casiassiez;casiassent
5591;dictature;dictatus;dictatus;dictatut;dictatuons;dictatuez;dictatuent;dictatuez;dictatuant;dictatu;dictatue;dictatus;dictatues;dictaturai;dictaturas;dictatura;dictaturons;dictaturez;dictaturont;dictatuais;dictatuais;dictatuait;dictatuions;dictatuiez;dictatuaient;dictaturais;dictaturais;dictaturait;dictaturions;dictaturiez;dictaturaient;dictatue;dictatues;dictatue;dictatuions;dictatuiez;dictatuent;dictatus;dictatus;dictatut;dictatûmes;dictatûtes;dictaturent;dictatusse;dictatusses;dictatût;dictatussions;dictatussiez;dictatussent
5594;clotaire;clotais;clotais;clotait;clotaisons;clotaisez;clotaisent;clotaisez;clotaisant;clotu;clotue;clotus;clotues;clotairai;clotairas;clotaira;clotairons;clotairez;clotairont;clotaisais;clotaisais;clotaisait;clotaisions;clotaisiez;clotaisaient;clotairais;clotairais;clotairait;clotairions;clotairiez;clotairaient;clotaise;clotaises;clotaise;clotaisions;clotaisiez;clotaisent;clotus;clotus;clotut;clotûmes;clotûtes;cloturent;clotusse;clotusses;clotût;clotussions;clotussiez;clotussent
5595;soccer;socce;socces;socce;socçons;soccez;soccent;soccez;socçant;soccé;soccée;soccés;soccées;soccerai;socceras;soccera;soccerons;soccerez;socceront;socçais;socçais;socçait;soccions;socciez;socçaient;soccerais;soccerais;soccerait;soccerions;socceriez;socceraient;socce;socces;socce;soccions;socciez;soccent;socçai;socças;socça;socçâmes;socçâtes;soccèrent;socçasse;socçasses;socçât;socçassions;socçassiez;socçassent
5597;geler;gèle;gèles;gèle;gelons;gelez;gèlent;gelez;gelant;gelé;gelée;gelés;gelées;gèlerai;gèleras;gèlera;gèlerons;gèlerez;gèleront;gelais;gelais;gelait;gelions;geliez;gelaient;gèlerais;gèlerais;gèlerait;gèlerions;gèleriez;gèleraient;gèle;gèles;gèle;gelions;geliez;gèlent;gelai;gelas;gela;gelâmes;gelâtes;gelèrent;gelasse;gelasses;gelât;gelassions;gelassiez;gelassent
5602;épuiser;épuise;épuises;épuise;épuisons;épuisez;épuisent;épuisez;épuisant;épuisé;épuisée;épuisés;épuisées;épuiserai;épuiseras;épuisera;épuiserons;épuiserez;épuiseront;épuisais;épuisais;épuisait;épuisions;épuisiez;épuisaient;épuiserais;épuiserais;épuiserait;épuiserions;épuiseriez;épuiseraient;épuise;épuises;épuise;épuisions;épuisiez;épuisent;épuisai;épuisas;épuisa;épuisâmes;épuisâtes;épuisèrent;épuisasse;épuisasses;épuisât;épuisassions;épuisassiez;épuisassent
5606;forger;forge;forges;forge;forgeons;forgez;forgent;forgez;forgeant;forgé;forgée;forgés;forgées;forgerai;forgeras;forgera;forgerons;forgerez;forgeront;forgeais;forgeais;forgeait;forgions;forgiez;forgeaient;forgerais;forgerais;forgerait;forgerions;forgeriez;forgeraient;forge;forges;forge;forgions;forgiez;forgent;forgeai;forgeas;forgea;forgeâmes;forgeâtes;forgèrent;forgeasse;forgeasses;forgeât;forgeassions;forgeassiez;forgeassent
5607;mitiger;mitige;mitiges;mitige;mitigeons;mitigez;mitigent;mitigez;mitigeant;mitigé;mitigée;mitigés;mitigées;mitigerai;mitigeras;mitigera;mitigerons;mitigerez;mitigeront;mitigeais;mitigeais;mitigeait;mitigions;mitigiez;mitigeaient;mitigerais;mitigerais;mitigerait;mitigerions;mitigeriez;mitigeraient;mitige;mitiges;mitige;mitigions;mitigiez;mitigent;mitigeai;mitigeas;mitigea;mitigeâmes;mitigeâtes;mitigèrent;mitigeasse;mitigeasses;mitigeât;mitigeassions;mitigeassiez;mitigeassent
5614;arguer;argue;argues;argue;arguons;arguez;arguent;arguez;arguant;argué;arguée;argués;arguées;arguerai;argueras;arguera;arguerons;arguerez;argueront;arguais;arguais;arguait;arguions;arguiez;arguaient;arguerais;arguerais;arguerait;arguerions;argueriez;argueraient;argue;argues;argue;arguions;arguiez;arguent;arguai;arguas;argua;arguâmes;arguâtes;arguèrent;arguasse;arguasses;arguât;arguassions;arguassiez;arguassent
5629;coordonner;coordonne;coordonnes;coordonne;coordonnons;coordonnez;coordonnent;coordonnez;coordonnant;coordonné;coordonnée;coordonnés;coordonnées;coordonnerai;coordonneras;coordonnera;coordonnerons;coordonnerez;coordonneront;coordonnais;coordonnais;coordonnait;coordonnions;coordonniez;coordonnaient;coordonnerais;coordonnerais;coordonnerait;coordonnerions;coordonneriez;coordonneraient;coordonne;coordonnes;coordonne;coordonnions;coordonniez;coordonnent;coordonnai;coordonnas;coordonna;coordonnâmes;coordonnâtes;coordonnèrent;coordonnasse;coordonnasses;coordonnât;coordonnassions;coordonnassiez;coordonnassent
5632;revisiter;revisite;revisites;revisite;revisitons;revisitez;revisitent;revisitez;revisitant;revisité;revisitée;revisités;revisitées;revisiterai;revisiteras;revisitera;revisiterons;revisiterez;revisiteront;revisitais;revisitais;revisitait;revisitions;revisitiez;revisitaient;revisiterais;revisiterais;revisiterait;revisiterions;revisiteriez;revisiteraient;revisite;revisites;revisite;revisitions;revisitiez;revisitent;revisitai;revisitas;revisita;revisitâmes;revisitâtes;revisitèrent;revisitasse;revisitasses;revisitât;revisitassions;revisitassiez;revisitassent
5636;redresser;redresse;redresses;redresse;redressons;redressez;redressent;redressez;redressant;redressé;redressée;redressés;redressées;redresserai;redresseras;redressera;redresserons;redresserez;redresseront;redressais;redressais;redressait;redressions;redressiez;redressaient;redresserais;redresserais;redresserait;redresserions;redresseriez;redresseraient;redresse;redresses;redresse;redressions;redressiez;redressent;redressai;redressas;redressa;redressâmes;redressâtes;redressèrent;redressasse;redressasses;redressât;redressassions;redressassiez;redressassent
5637;maximiser;maximise;maximises;maximise;maximisons;maximisez;maximisent;maximisez;maximisant;maximisé;maximisée;maximisés;maximisées;maximiserai;maximiseras;maximisera;maximiserons;maximiserez;maximiseront;maximisais;maximisais;maximisait;maximisions;maximisiez;maximisaient;maximiserais;maximiserais;maximiserait;maximiserions;maximiseriez;maximiseraient;maximise;maximises;maximise;maximisions;maximisiez;maximisent;maximisai;maximisas;maximisa;maximisâmes;maximisâtes;maximisèrent;maximisasse;maximisasses;maximisât;maximisassions;maximisassiez;maximisassent
